LAMMPS water channel data file

300 atoms
200 bonds
100 angles

2 atom types
1 bond types
1 angle types

0.0 100.0000 xlo xhi
0.0 30.0000 ylo yhi
0.0 30.0000 zlo zhi

Masses

1  15.9994  # Oxygen
2   1.0080  # Hydrogen

Atoms  # full

172 58 1 -0.8476  3.592432  15.314420  7.888890
173 58 2 0.4238  2.775941  14.737061  7.888890
174 58 2 0.4238  4.408922  14.737061  7.888890
175 59 1 -0.8476  63.936588  6.533527  19.964381
176 59 2 0.4238  63.120097  5.956168  19.964381
177 59 2 0.4238  64.753078  5.956168  19.964381
178 60 1 -0.8476  39.126593  26.354980  5.575545
179 60 2 0.4238  38.310103  25.777621  5.575545
180 60 2 0.4238  39.943084  25.777621  5.575545
181 61 1 -0.8476  34.742370  4.950312  26.042034
182 61 2 0.4238  33.925879  4.372953  26.042034
183 61 2 0.4238  35.558860  4.372953  26.042034
184 62 1 -0.8476  86.224578  8.706482  19.159585
185 62 2 0.4238  85.408087  8.129123  19.159585
186 62 2 0.4238  87.041068  8.129123  19.159585
187 63 1 -0.8476  80.453331  16.435221  15.770915
188 63 2 0.4238  79.636841  15.857862  15.770915
189 63 2 0.4238  81.269822  15.857862  15.770915
190 64 1 -0.8476  25.217820  4.420672  25.327610
191 64 2 0.4238  24.401329  3.843313  25.327610
192 64 2 0.4238  26.034310  3.843313  25.327610
193 65 1 -0.8476  88.440133  18.460638  10.814775
194 65 2 0.4238  87.623643  17.883279  10.814775
195 65 2 0.4238  89.256624  17.883279  10.814775
196 66 1 -0.8476  35.524119  20.874848  25.324867
197 66 2 0.4238  34.707629  20.297489  25.324867
198 66 2 0.4238  36.340610  20.297489  25.324867
199 67 1 -0.8476  87.160297  22.276764  18.692823
200 67 2 0.4238  86.343806  21.699405  18.692823
201 67 2 0.4238  87.976787  21.699405  18.692823
202 68 1 -0.8476  10.077437  6.202347  25.362409
203 68 2 0.4238  9.260946  5.624988  25.362409
204 68 2 0.4238  10.893927  5.624988  25.362409
205 69 1 -0.8476  60.217190  2.239123  4.638260
206 69 2 0.4238  59.400699  1.661764  4.638260
207 69 2 0.4238  61.033680  1.661764  4.638260
208 70 1 -0.8476  65.696170  2.131601  6.181009
209 70 2 0.4238  64.879679  1.554242  6.181009
210 70 2 0.4238  66.512660  1.554242  6.181009
211 71 1 -0.8476  54.678444  19.989275  18.950993
212 71 2 0.4238  53.861953  19.411916  18.950993
213 71 2 0.4238  55.494934  19.411916  18.950993
214 72 1 -0.8476  23.529854  20.516660  8.168476
215 72 2 0.4238  22.713363  19.939301  8.168476
216 72 2 0.4238  24.346344  19.939301  8.168476
217 73 1 -0.8476  33.238371  21.408777  18.890455
218 73 2 0.4238  32.421881  20.831418  18.890455
219 73 2 0.4238  34.054861  20.831418  18.890455
220 74 1 -0.8476  83.525447  19.097935  16.776024
221 74 2 0.4238  82.708957  18.520576  16.776024
222 74 2 0.4238  84.341938  18.520576  16.776024
223 75 1 -0.8476  10.992778  11.560611  8.895262
224 75 2 0.4238  10.176287  10.983252  8.895262
225 75 2 0.4238  11.809268  10.983252  8.895262
226 76 1 -0.8476  25.423006  27.298274  12.220541
227 76 2 0.4238  24.606515  26.720915  12.220541
228 76 2 0.4238  26.239496  26.720915  12.220541
229 77 1 -0.8476  87.636469  18.409604  22.665094
230 77 2 0.4238  86.819979  17.832245  22.665094
231 77 2 0.4238  88.452960  17.832245  22.665094
